"stock_code","corp_code","company_name","induty_code"
"009680","00151128","모토닉","303"
"009690","00159908","케이엠에이치","28302"
"0096B0","01946532","삼성스팩12호","64999"
"0096D0","01946596","미래에셋비전스팩9호","66199"
"009720","00159175","한국전기초자","231"
"009730","00116426","이렘","2413"
"009760","00159874","한국지주","64992"
"009770","00128227","삼정펄프","171"
"009780","00121154","엠에스씨","108"
"009790","00130037","휴닉스","2622"
"0097F0","01949469","미래에셋비전스팩10호","66199"
"009810","00103130","플레이그램","467"
"009830","00162461","한화솔루션","20111"
"009890","00120960","맥슨텔레콤","2642"
"0098T0","01949140","교보19호스팩","66199"
"009900","00173078","명신산업","303"
"009940","00110981","대아리드선","2629"
"009970","00140964","영원무역홀딩스","64992"
"0099W0","01948220","미래에셋비전스팩11호","66199"
"0099X0","01949584","IBKS제25호스팩","66199"
"010040","00160205","한국내화","2321"
"010050","00104102","우리종합금융","64919"
"010060","00148896","OCI홀딩스","64992"
"010090","00164308","이마트에브리데이","47121"
"010100","00160418","한국무브넥스","303"
"010120","00105855","엘에스일렉트릭","28121"
"010130","00102858","고려아연","24213"
"010140","00126478","삼성중공업","3111"
"010150","00159926","포스코티엠씨","2629"
"010170","00113261","대한광통신","283"
"0101C0","01949195","하나36호스팩","66199"
"010200","00105183","극동제혁","15110"
"010240","00167031","흥국","29241"
"010280","00138303","아이티센엔텍","62021"
"010400","00143262","우진아이엔에스","422"
"010420","00103626","한솔피엔에스","467"
"010460","00156521","화인자산관리","66199"
"010470","00141671","오리콤","71310"
"010520","00164469","현대하이스코","2413"
"010580","00147860","에스엠벡셀","303"
"0105P0","01954832","유진스팩12호","66199"
"010600","00141273","웰바이오텍","461"
"010620","00164609","에이치디현대미포","3111"
"010640","00160375","진양폴리우레탄","22259"
"010660","00166500","화천기계","29223"
"010670","00268437","나노트로닉스","27212"
"010690","00166315","화신","30391"
"010730","00105509","금강화섬","13103"
"010770","00155124","평화홀딩스","303"
"010780","00115977","아이에스동서","2332"
"010820","00148522","퍼스텍","252"
"010950","00138279","S-Oil","19210"
"010960","00128980","삼호개발","421"
"011000","00118521","진원생명과학","212"
"011020","00152950","코오롱유화","20202"
"011040","00101549","경동제약","212"
"011050","00159281","케드콤","2642"
"011070","00105961","LG이노텍","262"
"011080","00142713","형지I&C","1419"
"011090","00139764","에넥스","32021"
"011150","00129013","CJ씨푸드","108"
"011160","00102760","두산건설","41112"
"011170","00165413","롯데케미칼","20111"
"011200","00164645","HMM","50112"
"011210","00106623","현대위아","303"
"011230","00129280","삼화전자공업","265"
"011280","00153524","태림포장","1721"
"011300","00132868","우성머티리얼스","13213"
"011320","00147152","유니크","303"
"011330","00137207","유니켐","303"
"011370","00131504","서한","41112"
"011390","00124027","부산산업","23322"
"011400","00173069","아진카인텍","30320"
"011420","00129554","갤럭시아에스엠","911"
"011500","00160861","한농화성","20421"
"011560","00133876","세보엠이씨","422"
"0115H0","01957909","삼성스팩13호","66199"
"011690","00144720","와이투솔루션","2611"
"011700","00162072","한신기계공업","29132"
"011720","00164955","현대페인트","20411"
"011760","00164812","현대코퍼레이션","46800"
"011780","00106368","금호석유화학","201"
"011790","00139889","SKC","204"
"011800","00122436","배명금속","24122"
"011810","00138297","STX","46800"
"011930","00136271","신성이엔지","2612"
"012030","00163345","DB","62021"
"012090","00133034","성원건설","41221"
"0120G0","01965333","삼양바이오팜","212"
"012160","00141477","영흥","24123"
"012170","00145437","아센디오","591"
"012200","00102618","계양전기","291"
"012210","00125664","삼미금속","25912"
"012250","00142591","셰프라인","25992"
"012280","00141413","영화금속","303"
"012320","00143527","경동인베스트","649"
"012330","00164788","현대모비스","303"
"012340","00105040","뉴인텍","303"
"012400","00153551","허메스홀딩스","26429"
"012410","00102645","글로스텍","2611"
"012420","00161639","메리츠종합금융","64919"
"012450","00126566","한화에어로스페이스","31321"
"012460","00143013","우영","26"
"012510","00172291","더존비즈온","62022"
"012580","00132488","신세계톰보이","4741"
"012600","00151863","청호ICT","29180"
"012610","00102113","경인양행","20132"
"012620","00143907","원일특강","24123"
"012630","00164636","HDC","649"
"012650","00138206","쌍용건설","41221"
"012690","00173102","모나리자","17902"
"0126Z0","01965324","삼성에피스홀딩스","64992"
"012700","00117708","리드코프","46712"
"012720","00100957","건영","4111"
"012750","00158501","에스원","75320"
"012760","00116806","하스코","30"
"012790","00137058","신일제약","212"
"012800","00112651","대창","24221"
"012860","00137234","모베이스전자","303"
"012990","00120100","LG석유화학","20111"
"0129K0","01963140","신한제18호스팩","661"
"013000","00134176","세우글로벌","467"
"013030","00165060","하이록코리아","241"
"0130D0","01963520","신한제17호스팩","661"
"0130H0","01965698","엔에이치스팩33호","661"
"013120","00117966","동원개발","41112"
"0131D0","01964246","키움히어로제2호스팩","66199"
"013200","00142564","우방","4111"
"013240","00134051","셀런","26"
"0132G0","01985203","교보20호스팩","649"
"013310","00139083","아진산업","303"
"013340","00138695","뉴아세아","2413"
"013360","00146232","일성건설","41221"
"013450","00165529","동성하이켐","20111"
"013520","00166272","화승코퍼레이션","303"
"013570","00117179","디와이","64992"
"013580","00102432","계룡건설산업","412"
"013650","00114321","데코","14112"
"013700","00129420","까뮤이앤씨","41121"
